ts,strategy_id,profile_id,mode,action,ticker,direction,qty,price,usd,order_id,status,reason,signal_ready_time,shadow_exit_time,sim_mode
2026-05-27T11:05:00-04:00,,,PAPER,SELL,RKLB,LONG,35,142.2750,4979.62,PAPER,success,shadow_exit,2026-05-27T10:50:00-04:00,2026-05-27T11:00:00-04:00,True
2026-05-27T11:05:00-04:00,,,PAPER,SELL,SITM,LONG,6,715.0000,4290.00,PAPER,success,shadow_exit,2026-05-27T10:50:00-04:00,2026-05-27T11:00:00-04:00,True
2026-05-28T10:41:55-04:00,,,PAPER,SELLSHORT,TSEM,SHORT,18,271.2750,4882.95,PAPER,success,entry,2026-05-28T10:40:00-04:00,2026-05-28T10:50:00-04:00,True
2026-05-28T10:54:17-04:00,,,PAPER,BUYTOCOVER,TSEM,SHORT,18,271.2400,4882.32,PAPER,success,shadow_exit,2026-05-28T10:40:00-04:00,2026-05-28T10:50:00-04:00,True
2026-05-28T10:54:17-04:00,,,PAPER,BUY,CRWV,LONG,47,105.7400,4969.78,PAPER,success,entry,2026-05-28T10:50:00-04:00,2026-05-28T11:00:00-04:00,True
2026-05-28T11:04:30-04:00,,,PAPER,SELL,CRWV,LONG,47,107.8250,5067.78,PAPER,success,shadow_exit,2026-05-28T10:50:00-04:00,2026-05-28T11:00:00-04:00,True
2026-05-29T10:17:26-04:00,,,PAPER,BUY,NOW,LONG,41,121.4350,4978.84,PAPER,success,entry,2026-05-29T10:10:00-04:00,2026-05-29T10:20:00-04:00,True
2026-05-29T10:27:36-04:00,,,PAPER,SELL,NOW,LONG,41,119.9350,4917.34,PAPER,success,shadow_exit,2026-05-29T10:10:00-04:00,2026-05-29T10:20:00-04:00,True
2026-05-29T10:39:04-04:00,,,PAPER,SELLSHORT,P,SHORT,63,79.0300,4978.89,PAPER,success,entry,2026-05-29T10:30:00-04:00,2026-05-29T10:40:00-04:00,True
2026-05-29T10:39:17-04:00,,,PAPER,BUY,WDC,LONG,9,534.1050,4806.94,PAPER,success,entry,2026-05-29T10:30:00-04:00,2026-05-29T10:40:00-04:00,True
2026-05-29T10:50:30-04:00,,,PAPER,BUYTOCOVER,P,SHORT,63,78.4763,4944.01,PAPER,success,shadow_exit,2026-05-29T10:30:00-04:00,2026-05-29T10:40:00-04:00,True
2026-05-29T10:50:30-04:00,,,PAPER,SELL,WDC,LONG,9,530.9400,4778.46,PAPER,success,shadow_exit,2026-05-29T10:30:00-04:00,2026-05-29T10:40:00-04:00,True
2026-06-01T10:19:11-04:00,,,PAPER,SELLSHORT,ASTS,SHORT,48,102.8000,4934.40,PAPER,success,entry,2026-06-01T10:10:00-04:00,2026-06-01T10:20:00-04:00,True
2026-06-01T10:19:12-04:00,,,PAPER,BUY,CRWV,LONG,40,122.4450,4897.80,PAPER,success,entry,2026-06-01T10:10:00-04:00,2026-06-01T10:20:00-04:00,True
2026-06-01T10:30:05-04:00,,,PAPER,BUYTOCOVER,ASTS,SHORT,48,103.0200,4944.96,PAPER,success,shadow_exit,2026-06-01T10:10:00-04:00,2026-06-01T10:20:00-04:00,True
2026-06-01T10:30:05-04:00,,,PAPER,SELL,CRWV,LONG,40,124.4263,4977.05,PAPER,success,shadow_exit,2026-06-01T10:10:00-04:00,2026-06-01T10:20:00-04:00,True
2026-06-01T10:40:52-04:00,,,PAPER,BUY,COHR,LONG,14,353.7388,4952.34,PAPER,success,entry,2026-06-01T10:40:00-04:00,2026-06-01T10:50:00-04:00,True
2026-06-01T10:51:03-04:00,,,PAPER,SELL,COHR,LONG,14,351.7900,4925.06,PAPER,success,shadow_exit,2026-06-01T10:40:00-04:00,2026-06-01T10:50:00-04:00,True
2026-06-02T10:47:08-04:00,,,PAPER,BUY,MSTR,LONG,36,136.9800,4931.28,PAPER,success,entry,2026-06-02T10:40:00-04:00,2026-06-02T10:50:00-04:00,True
2026-06-02T10:57:22-04:00,,,PAPER,SELL,MSTR,LONG,36,138.2650,4977.54,PAPER,success,shadow_exit,2026-06-02T10:40:00-04:00,2026-06-02T10:50:00-04:00,True
2026-06-02T10:57:22-04:00,,,PAPER,BUY,STX,LONG,5,939.0750,4695.38,PAPER,success,entry,2026-06-02T10:50:00-04:00,2026-06-02T11:00:00-04:00,True
2026-06-02T11:07:38-04:00,,,PAPER,SELL,STX,LONG,5,929.1900,4645.95,PAPER,success,shadow_exit,2026-06-02T10:50:00-04:00,2026-06-02T11:00:00-04:00,True
2026-06-03T10:12:23-04:00,,,PAPER,BUY,ON,LONG,38,130.4900,4958.62,PAPER,success,entry,2026-06-03T10:10:00-04:00,2026-06-03T10:20:00-04:00,True
2026-06-03T10:26:34-04:00,,,PAPER,SELL,ON,LONG,38,133.1301,5058.94,PAPER,success,shadow_exit,2026-06-03T10:10:00-04:00,2026-06-03T10:20:00-04:00,True
2026-06-03T10:26:34-04:00,,,PAPER,BUY,DELL,LONG,12,411.3200,4935.84,PAPER,success,entry,2026-06-03T10:20:00-04:00,2026-06-03T10:30:00-04:00,True
2026-06-03T10:27:32-04:00,,,PAPER,BUY,STX,LONG,5,937.4800,4687.40,PAPER,success,entry,2026-06-03T10:20:00-04:00,2026-06-03T10:30:00-04:00,True
2026-06-03T10:39:46-04:00,,,PAPER,SELL,DELL,LONG,12,417.2800,5007.36,PAPER,success,shadow_exit,2026-06-03T10:20:00-04:00,2026-06-03T10:30:00-04:00,True
2026-06-03T10:39:46-04:00,,,PAPER,SELL,STX,LONG,5,942.8050,4714.02,PAPER,success,shadow_exit,2026-06-03T10:20:00-04:00,2026-06-03T10:30:00-04:00,True
2026-06-03T10:39:46-04:00,,,PAPER,SELLSHORT,ASTS,SHORT,45,110.0600,4952.70,PAPER,success,entry,2026-06-03T10:30:00-04:00,2026-06-03T10:40:00-04:00,True
2026-06-03T10:54:22-04:00,,,PAPER,BUYTOCOVER,ASTS,SHORT,45,111.3300,5009.85,PAPER,success,shadow_exit,2026-06-03T10:30:00-04:00,2026-06-03T10:40:00-04:00,True
2026-06-03T11:05:30-04:00,,,PAPER,SELLSHORT,UI,SHORT,8,572.1300,4577.04,PAPER,success,entry,2026-06-03T11:00:00-04:00,2026-06-03T11:10:00-04:00,True
2026-06-03T11:15:57-04:00,,,PAPER,BUYTOCOVER,UI,SHORT,8,568.0000,4544.00,PAPER,success,shadow_exit,2026-06-03T11:00:00-04:00,2026-06-03T11:10:00-04:00,True
2026-06-04T10:18:59-04:00,,,PAPER,BUY,RKLB,LONG,43,116.0400,4989.72,PAPER,success,entry,2026-06-04T10:10:00-04:00,2026-06-04T10:20:00-04:00,True
2026-06-04T10:32:36-04:00,,,PAPER,SELL,RKLB,LONG,43,117.6950,5060.88,PAPER,success,shadow_exit,2026-06-04T10:10:00-04:00,2026-06-04T10:20:00-04:00,True
2026-06-04T10:46:27-04:00,,,PAPER,SELLSHORT,COIN,SHORT,30,162.9000,4887.00,PAPER,success,entry,2026-06-04T10:40:00-04:00,2026-06-04T10:50:00-04:00,True
2026-06-04T10:46:34-04:00,,,PAPER,BUY,TWLO,LONG,21,235.1000,4937.10,PAPER,success,entry,2026-06-04T10:40:00-04:00,2026-06-04T10:50:00-04:00,True
2026-06-04T10:57:51-04:00,,,PAPER,BUYTOCOVER,COIN,SHORT,30,163.2400,4897.20,PAPER,success,shadow_exit,2026-06-04T10:40:00-04:00,2026-06-04T10:50:00-04:00,True
2026-06-04T10:57:51-04:00,,,PAPER,SELL,TWLO,LONG,21,235.2700,4940.67,PAPER,success,shadow_exit,2026-06-04T10:40:00-04:00,2026-06-04T10:50:00-04:00,True
2026-06-04T10:57:51-04:00,,,PAPER,SELLSHORT,TSN,SHORT,87,57.2600,4981.62,PAPER,success,entry,2026-06-04T10:50:00-04:00,2026-06-04T11:00:00-04:00,True
2026-06-04T11:03:24-04:00,,,PAPER,BUYTOCOVER,TSN,SHORT,87,57.1550,4972.48,PAPER,success,shadow_exit,2026-06-04T10:50:00-04:00,2026-06-04T11:00:00-04:00,True
2026-06-05T10:16:52-04:00,,,PAPER,BUY,CRDO,LONG,23,216.7000,4984.10,PAPER,success,entry,2026-06-05T10:10:00-04:00,2026-06-05T10:20:00-04:00,True
2026-06-05T10:27:32-04:00,,,PAPER,SELL,CRDO,LONG,23,232.0750,5337.72,PAPER,success,shadow_exit,2026-06-05T10:10:00-04:00,2026-06-05T10:20:00-04:00,True
2026-06-05T10:38:15-04:00,,,PAPER,SELLSHORT,APP,SHORT,8,567.8500,4542.80,PAPER,success,entry,2026-06-05T10:30:00-04:00,2026-06-05T10:40:00-04:00,True
