paper_date,paper_entry_session_date,signal_source_date,entry_date,timestamp,strategy_id,source_strategy_id,source_strategy,order_key,idempotency_key,symbol,action,direction,entry_price,paper_fill_price,price,paper_fill_price_source,paper_position_qty,qty,shares,paper_position_status,status,execution_status,mode,paper_only,route_to_tradestation,live_trading_enabled,entry_window_status,entry_time_et,research_allocation_rank,research_allocation_usd,research_rank_score,sector,paper_sizing_rule,paper_notional_per_slot,generated_at,exit_reason,days_held,exit_bar_date,source_buy_idempotency_key
2026-06-24,2026-06-24,2026-06-24,2026-06-24,2026-06-24T15:45:29,high_5_strategy,automated_swing_trading,Automated Swing Trading,HIGH5-PAPER-2026-06-24-MAMA,HIGH5-PAPER-2026-06-24-MAMA,MAMA,BUY,LONG,19.47,19.47,19.47,high_5_entry_price,10272.0,10272.0,10272.0,FILLED,FILLED,FILLED,PAPER,True,False,False,ENTRY_WINDOW_OPEN_1545_1559_ET,15:45,1,100000.0,0.941176,Consumer Defensive,floor((RESEARCH_ALLOCATION_USD * LEVERAGE) / entry_price),200000.0,2026-06-24T15:45:29,,,,
2026-06-24,2026-06-24,2026-06-24,2026-06-24,2026-06-24T15:45:29,high_5_strategy,automated_swing_trading,Automated Swing Trading,HIGH5-PAPER-2026-06-24-MBX,HIGH5-PAPER-2026-06-24-MBX,MBX,BUY,LONG,48.42,48.42,48.42,high_5_entry_price,4130.0,4130.0,4130.0,FILLED,FILLED,FILLED,PAPER,True,False,False,ENTRY_WINDOW_OPEN_1545_1559_ET,15:45,2,100000.0,0.941176,Healthcare,floor((RESEARCH_ALLOCATION_USD * LEVERAGE) / entry_price),200000.0,2026-06-24T15:45:29,,,,
2026-06-24,2026-06-24,2026-06-24,2026-06-24,2026-06-24T15:45:29,high_5_strategy,automated_swing_trading,Automated Swing Trading,HIGH5-PAPER-2026-06-24-RARE,HIGH5-PAPER-2026-06-24-RARE,RARE,BUY,LONG,29.32,29.32,29.32,high_5_entry_price,6821.0,6821.0,6821.0,FILLED,FILLED,FILLED,PAPER,True,False,False,ENTRY_WINDOW_OPEN_1545_1559_ET,15:45,3,100000.0,0.794118,Healthcare,floor((RESEARCH_ALLOCATION_USD * LEVERAGE) / entry_price),200000.0,2026-06-24T15:45:29,,,,
2026-06-24,2026-06-24,2026-06-24,2026-06-24,2026-06-24T15:45:29,high_5_strategy,automated_swing_trading,Automated Swing Trading,HIGH5-PAPER-2026-06-24-AGIO,HIGH5-PAPER-2026-06-24-AGIO,AGIO,BUY,LONG,36.35,36.35,36.35,high_5_entry_price,5502.0,5502.0,5502.0,FILLED,FILLED,FILLED,PAPER,True,False,False,ENTRY_WINDOW_OPEN_1545_1559_ET,15:45,4,100000.0,0.764706,Healthcare,floor((RESEARCH_ALLOCATION_USD * LEVERAGE) / entry_price),200000.0,2026-06-24T15:45:29,,,,
2026-06-24,2026-06-24,2026-06-24,2026-06-24,2026-06-24T15:45:29,high_5_strategy,automated_swing_trading,Automated Swing Trading,HIGH5-PAPER-2026-06-24-RCUS,HIGH5-PAPER-2026-06-24-RCUS,RCUS,BUY,LONG,29.35,29.35,29.35,high_5_entry_price,6814.0,6814.0,6814.0,FILLED,FILLED,FILLED,PAPER,True,False,False,ENTRY_WINDOW_OPEN_1545_1559_ET,15:45,5,100000.0,0.676471,Healthcare,floor((RESEARCH_ALLOCATION_USD * LEVERAGE) / entry_price),200000.0,2026-06-24T15:45:29,,,,
2026-06-25,2026-06-25,2026-06-25,2026-06-25,2026-06-25T15:45:10,high_5_strategy,automated_swing_trading,Automated Swing Trading,HIGH5-PAPER-2026-06-25-RARE,HIGH5-PAPER-2026-06-25-RARE,RARE,BUY,LONG,29.22,29.22,29.22,high_5_entry_price,6844.0,6844.0,6844.0,FILLED,FILLED,FILLED,PAPER,True,False,False,ENTRY_WINDOW_OPEN_1545_1559_ET,15:45,1,100000.0,0.863636,Healthcare,floor((RESEARCH_ALLOCATION_USD * LEVERAGE) / entry_price),200000.0,2026-06-25T15:45:10,,,,
2026-06-25,2026-06-25,2026-06-25,2026-06-25,2026-06-25T15:45:10,high_5_strategy,automated_swing_trading,Automated Swing Trading,HIGH5-PAPER-2026-06-25-AGIO,HIGH5-PAPER-2026-06-25-AGIO,AGIO,BUY,LONG,36.07,36.07,36.07,high_5_entry_price,5544.0,5544.0,5544.0,FILLED,FILLED,FILLED,PAPER,True,False,False,ENTRY_WINDOW_OPEN_1545_1559_ET,15:45,2,100000.0,0.818182,Healthcare,floor((RESEARCH_ALLOCATION_USD * LEVERAGE) / entry_price),200000.0,2026-06-25T15:45:10,,,,
2026-06-25,2026-06-25,2026-06-25,2026-06-25,2026-06-25T15:45:10,high_5_strategy,automated_swing_trading,Automated Swing Trading,HIGH5-PAPER-2026-06-25-LGND,HIGH5-PAPER-2026-06-25-LGND,LGND,BUY,LONG,294.2,294.2,294.2,high_5_entry_price,679.0,679.0,679.0,FILLED,FILLED,FILLED,PAPER,True,False,False,ENTRY_WINDOW_OPEN_1545_1559_ET,15:45,3,100000.0,0.727273,Healthcare,floor((RESEARCH_ALLOCATION_USD * LEVERAGE) / entry_price),200000.0,2026-06-25T15:45:10,,,,
2026-06-25,2026-06-25,2026-06-25,2026-06-25,2026-06-25T15:45:10,high_5_strategy,automated_swing_trading,Automated Swing Trading,HIGH5-PAPER-2026-06-25-CCS,HIGH5-PAPER-2026-06-25-CCS,CCS,BUY,LONG,69.7,69.7,69.7,high_5_entry_price,2869.0,2869.0,2869.0,FILLED,FILLED,FILLED,PAPER,True,False,False,ENTRY_WINDOW_OPEN_1545_1559_ET,15:45,4,100000.0,0.681818,Real Estate,floor((RESEARCH_ALLOCATION_USD * LEVERAGE) / entry_price),200000.0,2026-06-25T15:45:10,,,,
2026-06-25,2026-06-25,2026-06-25,2026-06-25,2026-06-25T15:45:10,high_5_strategy,automated_swing_trading,Automated Swing Trading,HIGH5-PAPER-2026-06-25-RCUS,HIGH5-PAPER-2026-06-25-RCUS,RCUS,BUY,LONG,30.26,30.26,30.26,high_5_entry_price,6609.0,6609.0,6609.0,FILLED,FILLED,FILLED,PAPER,True,False,False,ENTRY_WINDOW_OPEN_1545_1559_ET,15:45,5,100000.0,0.681818,Healthcare,floor((RESEARCH_ALLOCATION_USD * LEVERAGE) / entry_price),200000.0,2026-06-25T15:45:10,,,,
